I 08/19/2011 14:36:25:786 000005b0                  APP| RHO serve: /app/Settings/logged_in
I 08/19/2011 14:36:25:786 000005b0              RhoRuby| require_compiled: Settings/controller
I 08/19/2011 14:36:25:789 000005b0              RhoRuby| require_compiled: helpers/browser_helper
I 08/19/2011 14:36:25:791 000005b0              RhoRuby| require_compiled: json
I 08/19/2011 14:36:25:791 000005b0              RhoRuby| require_compiled: json/common
I 08/19/2011 14:36:25:796 000005b0              RhoRuby| require_compiled: json/version
I 08/19/2011 14:36:25:799 000005b0              RhoRuby| require_compiled: json/pure
I 08/19/2011 14:36:25:801 000005b0              RhoRuby| require_compiled: json/pure/generator
I 08/19/2011 14:36:30:646 0000066c           MainWindow| WebView: loading...
I 08/19/2011 14:36:30:653 0000066c           MainWindow| WebView: loaded 
I 08/19/2011 14:36:30:656 0000066c           MainWindow| WebView: loading...
I 08/19/2011 14:36:30:656 0000066c           MainWindow| WebView: loaded 
I 08/19/2011 14:36:30:656 0000066c           MainWindow| WebView: loading...
I 08/19/2011 14:36:30:656 0000066c           MainWindow| WebView: loaded 
I 08/19/2011 14:36:30:656 0000066c           MainWindow| WebView: loading...
I 08/19/2011 14:36:30:658 0000066c           MainWindow| WebView: loaded 
I 08/19/2011 14:36:30:658 0000066c           MainWindow| WebView: loading...
I 08/19/2011 14:36:30:658 0000066c           MainWindow| WebView: loaded 
I 08/19/2011 14:36:30:658 0000066c           MainWindow| WebView: loading...
I 08/19/2011 14:36:30:658 0000066c           MainWindow| WebView: loaded 
I 08/19/2011 14:36:30:661 0000066c           MainWindow| WebView: loading...
I 08/19/2011 14:36:30:661 0000066c           MainWindow| WebView: loaded 
I 08/19/2011 14:36:30:661 0000066c           MainWindow| WebView: loading...
I 08/19/2011 14:36:30:661 0000066c           MainWindow| WebView: loaded 
I 08/19/2011 14:36:30:661 0000066c           MainWindow| WebView: loading...
I 08/19/2011 14:36:30:661 0000066c           MainWindow| WebView: loaded 
I 08/19/2011 14:36:30:663 0000066c           MainWindow| WebView: loading...
I 08/19/2011 14:36:30:663 0000066c           MainWindow| WebView: loaded 
I 08/19/2011 14:36:30:663 0000066c           MainWindow| WebView: loading...
I 08/19/2011 14:36:30:663 0000066c           MainWindow| WebView: loaded 
I 08/19/2011 14:36:30:663 0000066c           MainWindow| WebView: loading...
I 08/19/2011 14:36:30:666 0000066c           MainWindow| WebView: loaded 
I 08/19/2011 14:36:30:666 0000066c           MainWindow| WebView: loading...
I 08/19/2011 14:36:30:666 0000066c           MainWindow| WebView: loaded 
I 08/19/2011 14:36:44:065 0000066c            RhodesApp| callAppActiveCallback
I 08/19/2011 14:36:44:065 0000066c         AppCallbacks| addCommand: APP-DEACTIVATED
I 08/19/2011 14:36:44:065 0000066c                  Net| Method: GET;Url: http://127.0.0.1:54461/system/deactivateapp
I 08/19/2011 14:36:44:065 00001e00         AppCallbacks| process command: APP-DEACTIVATED
I 08/19/2011 14:36:44:065 00001e00         AppCallbacks| ThreadQueue blocked for 300 seconds...
I 08/19/2011 14:36:44:067 000005b0           HttpServer| Process URI: '/system/deactivateapp'
I 08/19/2011 14:36:44:070 00001ea8       ClientRegister| ClientRegister thread shutdown
I 08/19/2011 14:36:44:070 0000066c                  Net| Method: GET;Url: http://127.0.0.1:54461/system/uidestroyed
I 08/19/2011 14:36:44:075 000005b0           HttpServer| Process URI: '/system/uidestroyed'
I 08/19/2011 14:36:44:075 00001e00         AppCallbacks| Thread shutdown
I 08/19/2011 14:36:44:077 0000066c           HttpServer| Stopping server...
I 08/19/2011 14:36:44:077 000005b0            RhodesApp| RhodesApp thread shutdown
I 08/19/2011 14:36:44:077 0000164c                 Sync| Thread shutdown
w| WebView: loaded 
I 08/19/2011 13:55:33:252 000016ac           MainWindow| WebView: loading...
I 08/19/2011 13:55:33:252 000016ac           MainWindow| WebView: loaded 
I 08/19/2011 13:55:34:067 000016ac           MainWindow| WebView: loading...
I 08/19/2011 13:55:34:067 000016ac           MainWindow| WebView: loaded 
I 08/19/2011 13:55:34:074 000016ac           MainWindow| WebView: loading...
I 08/19/2011 13:55:34:074 000016ac           MainWindow| WebView: loaded 
I 08/19/2011 13:55:40:695 000016ac            RhodesApp| callAppActiveCallback
I 08/19/2011 13:55:40:697 000016ac         AppCallbacks| addCommand: APP-DEACTIVATED
I 08/19/2011 13:55:40:697 000016ac                  Net| Method: GET;Url: http://127.0.0.1:53929/system/deactivateapp
I 08/19/2011 13:55:40:697 00000898         AppCallbacks| process command: APP-DEACTIVATED
I 08/19/2011 13:55:40:697 00000898         AppCallbacks| ThreadQueue blocked for 300 seconds...
I 08/19/2011 13:55:40:700 000006f8           HttpServer| Process URI: '/system/deactivateapp'
I 08/19/2011 13:55:40:702 0000193c       ClientRegister| ClientRegister thread shutdown
I 08/19/2011 13:55:40:702 000016ac                  Net| Method: GET;Url: http://127.0.0.1:53929/system/uidestroyed
I 08/19/2011 13:55:40:702 000006f8           HttpServer| Process URI: '/system/uidestroyed'
I 08/19/2011 13:55:40:705 00000898         AppCallbacks| Thread shutdown
I 08/19/2011 13:55:40:717 000016ac           HttpServer| Stopping server...
I 08/19/2011 13:55:40:720 000006f8            RhodesApp| RhodesApp thread shutdown
I 08/19/2011 13:55:40:720 000012d0                 Sync| Thread shutdown
